symbol,date,long_shares,short_shares,close,equity,market_value,margin,unrealized_pnl
SPY,2023-09-21 04:00:00,313,0,431.39,135025.07,135025.07,0.0,-691.73
SPY,2023-09-22 04:00:00,313,0,430.42,134721.46,134721.46,0.0,-995.34
SPY,2023-09-25 04:00:00,313,0,432.23,135287.99,135287.99,0.0,-428.81
SPY,2023-09-27 04:00:00,321,0,426.05,136762.05,136762.05,0.0,343.47
SPY,2023-09-28 04:00:00,321,0,428.52,137554.92,137554.92,0.0,1136.34
SPY,2023-09-29 04:00:00,321,0,427.48,137221.08,137221.08,0.0,802.5
SPY,2023-10-19 04:00:00,319,0,426.43,136031.17,136031.17,0.0,-905.96
SPY,2023-10-20 04:00:00,319,0,421.19,134359.61,134359.61,0.0,-2577.52
SPY,2023-10-23 04:00:00,319,0,420.46,134126.74,134126.74,0.0,-2810.39
SPY,2023-10-26 04:00:00,328,0,412.55,135316.4,135316.4,0.0,-626.48
SPY,2023-10-27 04:00:00,328,0,410.68,134703.04,134703.04,0.0,-1239.84
SPY,2023-10-30 04:00:00,328,0,415.59,136313.52,136313.52,0.0,370.64
SPY,2024-01-02 05:00:00,288,0,472.65,136123.2,136123.2,0.0,164.16
SPY,2024-01-03 05:00:00,288,0,468.79,135011.52,135011.52,0.0,-947.52
SPY,2024-01-04 05:00:00,288,0,467.28,134576.64,134576.64,0.0,-1382.4
TSLA,2022-01-12 05:00:00,0,100,1106.22,0.0,109372.0,110622.0,-1250.0
TSLA,2022-01-13 05:00:00,0,100,1031.56,0.0,109372.0,103156.0,6216.0
TSLA,2022-02-01 05:00:00,0,100,931.25,0.0,92435.0,93125.0,-690.0
TSLA,2022-02-02 05:00:00,0,100,905.66,0.0,92435.0,90566.0,1869.0
TSLA,2022-02-10 05:00:00,0,100,904.55,0.0,92026.0,90455.0,1571.0
TSLA,2022-02-11 05:00:00,0,100,860.0,0.0,92026.0,86000.0,6026.0
TSLA,2022-02-16 05:00:00,0,100,923.39,0.0,91382.0,92339.0,-957.0
TSLA,2022-02-17 05:00:00,0,100,876.35,0.0,91382.0,87635.0,3747.0
TSLA,2022-02-28 05:00:00,0,100,870.43,0.0,84578.0,87043.0,-2465.0
TSLA,2022-03-01 05:00:00,0,100,864.37,0.0,84578.0,86437.0,-1859.0
TSLA,2022-03-10 05:00:00,0,100,838.3,0.0,83241.0,83830.0,-589.0
TSLA,2022-03-11 05:00:00,0,100,795.35,0.0,83241.0,79535.0,3706.0
TSLA,2022-03-16 04:00:00,0,100,840.23,0.0,82213.0,84023.0,-1810.0
TSLA,2022-03-17 04:00:00,0,100,871.6,0.0,82213.0,87160.0,-4947.0
TSLA,2022-03-21 04:00:00,0,100,921.16,0.0,92497.0,92116.0,381.0
TSLA,2022-03-22 04:00:00,0,100,993.98,0.0,92497.0,99398.0,-6901.0
TSLA,2022-03-24 04:00:00,0,100,1013.92,0.0,100664.0,101392.0,-728.0
TSLA,2022-03-25 04:00:00,0,100,1010.64,0.0,100664.0,101064.0,-400.0
TSLA,2022-03-29 04:00:00,0,100,1099.57,0.0,109394.0,109957.0,-563.0
TSLA,2022-03-30 04:00:00,0,100,1093.99,0.0,109394.0,109399.0,-5.0
TSLA,2022-04-05 04:00:00,0,100,1091.26,0.0,112008.0,109126.0,2882.0
TSLA,2022-04-06 04:00:00,0,100,1045.76,0.0,112008.0,104576.0,7432.0
TSLA,2022-04-14 04:00:00,0,100,985.0,0.0,99745.0,98500.0,1245.0
TSLA,2022-04-18 04:00:00,0,100,1004.29,0.0,99745.0,100429.0,-684.0
TSLA,2022-04-20 04:00:00,0,100,977.2,0.0,100463.0,97720.0,2743.0
TSLA,2022-04-21 04:00:00,0,100,1008.78,0.0,100463.0,100878.0,-415.0
TSLA,2022-05-04 04:00:00,0,100,952.62,0.0,92039.0,95262.0,-3223.0
TSLA,2022-05-05 04:00:00,0,100,873.28,0.0,92039.0,87328.0,4711.0
TSLA,2022-05-16 04:00:00,0,100,724.37,0.0,74442.0,72437.0,2005.0
TSLA,2022-05-17 04:00:00,0,100,761.61,0.0,74442.0,76161.0,-1719.0
TSLA,2022-05-26 04:00:00,0,100,707.73,0.0,68616.0,70773.0,-2157.0
TSLA,2022-05-27 04:00:00,0,100,759.63,0.0,68616.0,75963.0,-7347.0
TSLA,2022-06-03 04:00:00,0,100,703.55,0.0,72182.0,70355.0,1827.0
TSLA,2022-06-06 04:00:00,0,100,714.84,0.0,72182.0,71484.0,698.0
TSLA,2022-06-09 04:00:00,0,100,719.12,0.0,74231.0,71912.0,2319.0
TSLA,2022-06-10 04:00:00,0,100,696.69,0.0,74231.0,69669.0,4562.0
TSLA,2022-06-16 04:00:00,0,100,639.3,0.0,65079.0,63930.0,1149.0
TSLA,2022-06-17 04:00:00,0,100,650.28,0.0,65079.0,65028.0,51.0
TSLA,2022-06-22 04:00:00,0,100,708.26,0.0,72099.0,70826.0,1273.0
TSLA,2022-06-23 04:00:00,0,100,705.21,0.0,72099.0,70521.0,1578.0
TSLA,2022-06-27 04:00:00,0,100,734.76,0.0,74195.0,73476.0,719.0
TSLA,2022-06-28 04:00:00,0,100,697.99,0.0,74195.0,69799.0,4396.0
TSLA,2022-07-06 04:00:00,0,100,695.2,0.0,69262.0,69520.0,-258.0
TSLA,2022-07-07 04:00:00,0,100,733.63,0.0,69262.0,73363.0,-4101.0
TSLA,2022-07-11 04:00:00,0,100,703.03,0.0,73004.0,70303.0,2701.0
TSLA,2022-07-12 04:00:00,0,100,699.21,0.0,73004.0,69921.0,3083.0
TSLA,2022-07-18 04:00:00,0,100,721.64,0.0,73518.0,72164.0,1354.0
TSLA,2022-07-19 04:00:00,0,100,736.59,0.0,73518.0,73659.0,-141.0
TSLA,2022-07-21 04:00:00,0,100,815.12,0.0,79220.0,81512.0,-2292.0
TSLA,2022-07-22 04:00:00,0,100,816.73,0.0,79220.0,81673.0,-2453.0
TSLA,2022-07-28 04:00:00,0,100,842.7,0.0,83415.0,84270.0,-855.0
TSLA,2022-07-29 04:00:00,0,100,891.45,0.0,83415.0,89145.0,-5730.0
TSLA,2022-08-11 04:00:00,0,100,859.89,0.0,87610.0,85989.0,1621.0
TSLA,2022-08-12 04:00:00,0,100,900.09,0.0,87610.0,90009.0,-2399.0
TSLA,2022-08-16 04:00:00,0,100,919.69,0.0,92632.0,91969.0,663.0
TSLA,2022-08-17 04:00:00,0,100,911.99,0.0,92632.0,91199.0,1433.0
TSLA,2022-08-24 04:00:00,0,100,891.29,0.0,90022.0,89129.0,893.0
TSLA,2022-08-25 04:00:00,0,100,296.07,0.0,90022.0,29607.0,60415.0
TSLA,2022-09-08 04:00:00,0,100,289.26,0.0,28463.0,28926.0,-463.0
TSLA,2022-09-09 04:00:00,0,100,299.68,0.0,28463.0,29968.0,-1505.0
TSLA,2022-09-13 04:00:00,0,100,292.13,0.0,29390.0,29213.0,177.0
TSLA,2022-09-14 04:00:00,0,100,302.61,0.0,29390.0,30261.0,-871.0
TSLA,2022-09-20 04:00:00,0,100,308.73,0.0,30946.0,30873.0,73.0
TSLA,2022-09-21 04:00:00,0,100,300.8,0.0,30946.0,30080.0,866.0
TSLA,2022-10-14 04:00:00,0,100,204.99,0.0,21521.0,20499.0,1022.0
TSLA,2022-10-17 04:00:00,0,100,219.35,0.0,21521.0,21935.0,-414.0
TSLA,2022-10-26 04:00:00,0,100,224.64,0.0,22440.0,22464.0,-24.0
TSLA,2022-10-27 04:00:00,0,100,225.09,0.0,22440.0,22509.0,-69.0
TSLA,2022-11-14 05:00:00,0,100,190.95,0.0,19104.0,19095.0,9.0
TSLA,2022-11-15 05:00:00,0,100,194.42,0.0,19104.0,19442.0,-338.0
TSLA,2022-11-25 05:00:00,0,100,182.86,0.0,18292.0,18286.0,6.0
TSLA,2022-11-28 05:00:00,0,100,182.92,0.0,18292.0,18292.0,0.0
TSLA,2022-12-01 05:00:00,0,100,194.7,0.0,19536.0,19470.0,66.0
TSLA,2022-12-02 05:00:00,0,100,194.86,0.0,19536.0,19486.0,50.0
TSLA,2022-12-12 05:00:00,0,100,167.82,0.0,17244.0,16782.0,462.0
TSLA,2022-12-13 05:00:00,0,100,160.95,0.0,17244.0,16095.0,1149.0
TSLA,2022-12-30 05:00:00,0,100,123.18,0.0,12212.0,12318.0,-106.0
TSLA,2023-01-03 05:00:00,0,100,108.1,0.0,12212.0,10810.0,1402.0
TSLA,2023-01-09 05:00:00,0,100,119.77,0.0,12032.0,11977.0,55.0
TSLA,2023-01-10 05:00:00,0,100,118.85,0.0,12032.0,11885.0,147.0
TSLA,2023-01-12 05:00:00,0,100,123.56,0.0,12057.0,12356.0,-299.0
